2022-05-16 08:05:91 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 08:05:295 INFO  HomePage :34 - Click on register link :[[ChromeDriver: chrome on WINDOWS (66ad918473617474edbab6fd7eb48c74)] -> xpath: //a[contains(text(),'Register')]]
2022-05-16 08:05:324 INFO  RegisterPage :46 - Click on register button :[[ChromeDriver: chrome on WINDOWS (66ad918473617474edbab6fd7eb48c74)] -> xpath: //button[@id='register-button']]
2022-05-16 09:05:487 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 09:05:579 INFO  HomePage :34 - Click on register link :[[ChromeDriver: chrome on WINDOWS (9b3dbda0bac9f4899f69b1176f039f33)] -> xpath: //a[contains(text(),'Register')]]
2022-05-16 09:05:678 INFO  RegisterPage :103 - Click on gender button :[[ChromeDriver: chrome on WINDOWS (9b3dbda0bac9f4899f69b1176f039f33)] -> xpath: //input[@id='gender-female']]
2022-05-16 09:05:807 INFO  RegisterPage :108 - Enter first name :[[ChromeDriver: chrome on WINDOWS (9b3dbda0bac9f4899f69b1176f039f33)] -> xpath: //input[@id='FirstName']]
2022-05-16 09:05:897 INFO  RegisterPage :113 - Enter last name :[[ChromeDriver: chrome on WINDOWS (9b3dbda0bac9f4899f69b1176f039f33)] -> xpath: //input[@id='LastName']]
2022-05-16 09:05:30 INFO  RegisterPage :119 - Enter email id :[[ChromeDriver: chrome on WINDOWS (9b3dbda0bac9f4899f69b1176f039f33)] -> xpath: //input[@id='Email']]
2022-05-16 09:05:125 INFO  RegisterPage :125 - Enter password:[[ChromeDriver: chrome on WINDOWS (9b3dbda0bac9f4899f69b1176f039f33)] -> xpath: //input[@id='Password']]
2022-05-16 09:05:219 INFO  RegisterPage :130 - Enter conformed password :[[ChromeDriver: chrome on WINDOWS (9b3dbda0bac9f4899f69b1176f039f33)] -> xpath: //input[@id='ConfirmPassword']]
2022-05-16 12:05:938 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 12:05:392 INFO  HomePage :34 - Click on register link :[[ChromeDriver: chrome on WINDOWS (7994087dd18bf1cfb064b9afe5af5b6c)] -> xpath: //a[contains(text(),'Register')]]
2022-05-16 12:05:476 INFO  RegisterPage :103 - Click on gender button :[[ChromeDriver: chrome on WINDOWS (7994087dd18bf1cfb064b9afe5af5b6c)] -> xpath: //input[@id='gender-female']]
2022-05-16 12:05:622 INFO  RegisterPage :108 - Enter first name :[[ChromeDriver: chrome on WINDOWS (7994087dd18bf1cfb064b9afe5af5b6c)] -> xpath: //input[@id='FirstName']]
2022-05-16 12:05:761 INFO  RegisterPage :113 - Enter last name :[[ChromeDriver: chrome on WINDOWS (7994087dd18bf1cfb064b9afe5af5b6c)] -> xpath: //input[@id='LastName']]
2022-05-16 12:05:915 INFO  RegisterPage :119 - Enter email id :[[ChromeDriver: chrome on WINDOWS (7994087dd18bf1cfb064b9afe5af5b6c)] -> xpath: //input[@id='Email']]
2022-05-16 12:05:25 INFO  RegisterPage :125 - Enter password:[[ChromeDriver: chrome on WINDOWS (7994087dd18bf1cfb064b9afe5af5b6c)] -> xpath: //input[@id='Password']]
2022-05-16 12:05:156 INFO  RegisterPage :130 - Enter conformed password :[[ChromeDriver: chrome on WINDOWS (7994087dd18bf1cfb064b9afe5af5b6c)] -> xpath: //input[@id='ConfirmPassword']]
2022-05-16 12:05:184 INFO  RegisterPage :71 - Click on register button :[[ChromeDriver: chrome on WINDOWS (7994087dd18bf1cfb064b9afe5af5b6c)] -> xpath: //button[@id='register-button']]
2022-05-16 12:05:682 INFO  RegisterPage :134 - verify Msg Of Successfully Register :[[ChromeDriver: chrome on WINDOWS (7994087dd18bf1cfb064b9afe5af5b6c)] -> xpath: //div[contains(text(),'Your registration completed')]]
2022-05-16 13:05:52 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 13:05:893 INFO  HomePage :44 - Click on computer tab[[ChromeDriver: chrome on WINDOWS (1371d4b1ffa84c678ab709ad6e5be628)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/a[1]]
2022-05-16 13:05:706 INFO  ComputerPage :24 - Verify computer text[[ChromeDriver: chrome on WINDOWS (1371d4b1ffa84c678ab709ad6e5be628)] -> xpath: //h1[contains(text(),'Computers')]]
2022-05-16 13:05:667 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-16 13:05:63 INFO  HomePage :44 - Click on computer tab[[ChromeDriver: chrome on WINDOWS (75bc07ef28cd4015135dd94f8c5233fd)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/a[1]]
2022-05-16 13:05:895 INFO  DesktopsPage :31 - click on desktop tab[[ChromeDriver: chrome on WINDOWS (75bc07ef28cd4015135dd94f8c5233fd)] -> xpath: //body/div[6]/div[3]/div[1]/div[3]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/h2[1]/a[1]]
2022-05-16 13:05:469 INFO  DesktopsPage :36 - Verify the Desktop text :Proxy element for: DefaultElementLocator 'By.xpath: //body/div[6]/div[3]/div[1]/div[3]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/h2[1]/a[1]'
2022-05-17 11:05:453 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-17 11:05:64 INFO  HomePage :36 - Clicking on login link[[ChromeDriver: chrome on WINDOWS (8b1e6c51eb2e6a9b4e11c81f184eef3b)] -> xpath: //a[contains(text(),'Log in')]]
2022-05-17 11:05:97 INFO  LoginPage :45 - Verify msg[[ChromeDriver: chrome on WINDOWS (8b1e6c51eb2e6a9b4e11c81f184eef3b)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-18 07:05:812 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-18 07:05:589 INFO  HomePage :44 - Click on computer tab[[ChromeDriver: chrome on WINDOWS (76550c5b39e01a7fcb44d65221289122)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/a[1]]
2022-05-18 07:05:264 INFO  DesktopsPage :31 - click on desktop tab[[ChromeDriver: chrome on WINDOWS (76550c5b39e01a7fcb44d65221289122)] -> xpath: //body/div[6]/div[3]/div[1]/div[3]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/h2[1]/a[1]]
2022-05-18 07:05:900 INFO  BuildYourOwnComputerPage :67 - Click on buid your computer product[[ChromeDriver: chrome on WINDOWS (76550c5b39e01a7fcb44d65221289122)] -> xpath: //a[contains(text(),'Build your own computer')]]
2022-05-18 07:05:947 INFO  BuildYourOwnComputerPage :74 - Select processor '2.2 GHz Intel Pentium Dual-Core E2200'<br>
2022-05-18 07:05:67 INFO  BuildYourOwnComputerPage :79 - Select RAM '2 GB'<br>
2022-05-18 07:05:164 INFO  BuildYourOwnComputerPage :86 - Select HDD '320 GB'<br>
2022-05-18 07:05:260 INFO  BuildYourOwnComputerPage :96 - Select HDD 'Vista Home [+$50.00]'<br>
2022-05-18 07:05:356 INFO  BuildYourOwnComputerPage :106 - Select Software '[[ChromeDriver: chrome on WINDOWS (76550c5b39e01a7fcb44d65221289122)] -> xpath: //dd[@id='product_attribute_input_5']//li/label]'<br>
2022-05-18 07:05:455 INFO  BuildYourOwnComputerPage :114 - Click on 'ADD TO CART' Button<br>
2022-05-18 07:05:411 INFO  BuildYourOwnComputerPage :119 - Get productAdded Message : The product has been added to your shopping cart<br>
2022-05-18 07:05:228 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-18 07:05:470 INFO  HomePage :44 - Click on computer tab[[ChromeDriver: chrome on WINDOWS (234d9a19d46e727db2738177f9bef808)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/a[1]]
2022-05-18 07:05:75 INFO  DesktopsPage :31 - click on desktop tab[[ChromeDriver: chrome on WINDOWS (234d9a19d46e727db2738177f9bef808)] -> xpath: //body/div[6]/div[3]/div[1]/div[3]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/h2[1]/a[1]]
2022-05-18 07:05:555 INFO  BuildYourOwnComputerPage :67 - Click on buid your computer product[[ChromeDriver: chrome on WINDOWS (234d9a19d46e727db2738177f9bef808)] -> xpath: //a[contains(text(),'Build your own computer')]]
2022-05-18 07:05:605 INFO  BuildYourOwnComputerPage :74 - Select processor '2.5 GHz Intel Pentium Dual-Core E2200 [+$15.00]'<br>
2022-05-18 07:05:701 INFO  BuildYourOwnComputerPage :79 - Select RAM '4GB [+$20.00]'<br>
2022-05-18 07:05:819 INFO  BuildYourOwnComputerPage :86 - Select HDD '400 GB [+$100.00]'<br>
2022-05-18 07:05:934 INFO  BuildYourOwnComputerPage :96 - Select HDD 'Vista Premium [+$60.00]'<br>
2022-05-18 07:05:51 INFO  BuildYourOwnComputerPage :106 - Select Software '[[ChromeDriver: chrome on WINDOWS (234d9a19d46e727db2738177f9bef808)] -> xpath: //dd[@id='product_attribute_input_5']//li/label]'<br>
2022-05-18 07:05:131 INFO  BuildYourOwnComputerPage :114 - Click on 'ADD TO CART' Button<br>
2022-05-18 07:05:467 INFO  BuildYourOwnComputerPage :119 - Get productAdded Message : The product has been added to your shopping cart<br>
2022-05-18 07:05:220 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-18 07:05:88 INFO  HomePage :44 - Click on computer tab[[ChromeDriver: chrome on WINDOWS (788c4575201bf329a2f7d5a97082376b)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/a[1]]
2022-05-18 07:05:673 INFO  DesktopsPage :31 - click on desktop tab[[ChromeDriver: chrome on WINDOWS (788c4575201bf329a2f7d5a97082376b)] -> xpath: //body/div[6]/div[3]/div[1]/div[3]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/h2[1]/a[1]]
2022-05-18 07:05:185 INFO  BuildYourOwnComputerPage :67 - Click on buid your computer product[[ChromeDriver: chrome on WINDOWS (788c4575201bf329a2f7d5a97082376b)] -> xpath: //a[contains(text(),'Build your own computer')]]
2022-05-18 07:05:32 INFO  BuildYourOwnComputerPage :74 - Select processor '2.5 GHz Intel Pentium Dual-Core E2200 [+$15.00]'<br>
2022-05-18 07:05:131 INFO  BuildYourOwnComputerPage :79 - Select RAM '8GB [+$60.00]'<br>
2022-05-18 07:05:219 INFO  BuildYourOwnComputerPage :86 - Select HDD '320 GB'<br>
